Title,Speakers,Speaker Location,Affiliation,Identifier,Room,Date,Time,Sesstion,Theme
"A phase I/IIa clinical trial of ACR246, an anti-5T4 antibody drug conjugate (ADC), in patients (pts) with advanced solid tumors",Panpan Zhang ,"Beijing, China","Obstetrics & Gynecology Hospital of Fudan University, Shanghai, China.",960P,Hall 25,10/19/2025,12-13:00,Poster,Developmental therapeutics
Impact of 8-sessions Mindfulness-Based Stress Reduction Program on Psychological Distress and Awareness of Mental State in Cancer Patients: A Quasi-Experimental Study,Panuch Eiamprapaporn ,"Pathum Thani, Thailand","Department of Medicine, Faculty of Medicine, Thammasat University Hospital, Thailand.",2915eP,Hall 25,10/19/2025,12-13:00,ePoster,Supportive care
The Next Step in Advanced Melanoma: The IGNYTE-3 Study with RP1 and Nivolumab,Paolo A. Ascierto ,"Naples, Italy","Melanoma, Oncological Immunotherapy and Innovative Therapies Department INT - IRCCS ""Fondazione G. Pascale"" Naples Italy.",,Bremen Auditorium - Hall 6.2,10/19/2025,18:30 - 20:00,Industry-Sponsored Symposium,A New Era in Cancer Therapy
Optimising the safety of ADCs,Paolo Tarantino ,"Boston, United States of America","Dana-Farber Cancer Institute, Harvard Medical School, Boston, MA, USA, University of Milano, Milan, Italy.",,Nuremberg Auditorium - Hall 5.2,10/19/2025,08:50 - 09:10,Educational Session,The next frontier of antibody-drug conjugate development
Implication of baseline scan timing in a cohort of NSCLC patients enrolled in early-phases clinical trials: a pilot study,Pasquale Persico ,"Rozzano, Italy","Department of Medical Oncology and Hematology Unit, IRCCS Humanitas Research Hospital, Rozzano, Italy.",1008eP,Hall 25,10/19/2025,12-13:00,ePoster,Developmental therapeutics
Welcome and introductions,Patrick Jahn ,"Tuebingen, Germany","Health Service Research Working Group| Acute Care, Medical Faculty of Martin Luther, University Medicine Halle (Saale), University Halle-Wittenberg, Halle, Germany.",,Oldenburg Auditorium - Hall 5.1,10/19/2025,12:00 - 12:05,Industry-Sponsored Symposium,"Reflecting on Milestones, Tackling Challenges, and Innovating for the Future"
Panel discussion and Q&A,Patrick Jahn ,"Tuebingen, Germany","Health Service Research Working Group| Acute Care, Medical Faculty of Martin Luther, University Medicine Halle (Saale), University Halle-Wittenberg, Halle, Germany.",,Oldenburg Auditorium - Hall 5.1,10/19/2025,13:05 - 13:25,Industry-Sponsored Symposium,"Reflecting on Milestones, Tackling Challenges, and Innovating for the Future"
Conclusion,Patrick Jahn ,"Tuebingen, Germany","Health Service Research Working Group| Acute Care, Medical Faculty of Martin Luther, University Medicine Halle (Saale), University Halle-Wittenberg, Halle, Germany.",,Oldenburg Auditorium - Hall 5.1,10/19/2025,13:25 - 13:30,Industry-Sponsored Symposium,"Reflecting on Milestones, Tackling Challenges, and Innovating for the Future"
Real-world outcomes of Trastuzumab (TTZ) based therapy in HER2+ metastatic Gastroesophageal Adenocarcinoma (mGEA): Predictive value of ERBB2 Copy Number Gain (CNG),Pau Mascaro Baselga ,"Barcelona, Spain",,2174P,Hall 25,10/19/2025,12-13:00,Poster,Oesophagogastric cancer
Predictive Value of Low-Frequency Resistance Mutations and Relative Mutant Allele Frequencies (rMAFs) in Anti-EGFR Rechallenge for RAS/BRAF Wild-Type (wt) Metastatic Colorectal Cancer (mCRC),Pau Mascaro Baselga ,"Barcelona, Spain",,728MO,Cologne Auditorium - CityCube A,10/19/2025,15:40 - 15:45,Mini Oral Session,"GI tumours, lower digestive"
"A Phase II randomized trial of nurse led telehealth follow-up including patient reported outcomes using the MOST-S26 (Measure of Ovarian Symptoms and Treatment concerns) versus routine clinic based or telehealth follow-up, after completion of chemotherapy in patients with ovarian cancer",Paul A. Cohen ,"Perth, Australia","University of Western Australia, Medical School, Division of Obstetrics and Gynaecology, Perth, Australia.",CN88,Oldenburg Auditorium - Hall 5.1,10/19/2025,16:20 - 16:25,Eons Session,EONS Rapid fire session 2
Enfortumab vedotin plus pembrolizumab (EV + P) as first-line (1L) treatment in recurrent or metastatic head and neck squamous cell carcinoma (R/M HNSCC): results from a cohort of the EV-202 trial,Paul L Swiecicki ,"Ann Arbor, United States of America","Rogel Cancer Center, University of Michigan, MI, USA.",1329MO,Cologne Auditorium - CityCube A,10/19/2025,17:38 - 17:43,Mini Oral Session,Head & neck cancer
"Randomised phase 3 trial of androgen deprivation therapy (ADT) with radiation therapy with or without enzalutamide for high risk, clinically localised prostate cancer: ENZARAD (ANZUP 1303)",Paul L. Nguyen ,"Boston, United States of America","Department of Radiation Oncology, Brigham and Women's Hospital and Dana-Farber Cancer Institute, Harvard Medical School, Boston, MA, USA.",LBA86,Hamburg Auditorium - CityCube A,10/19/2025,10:15 - 10:25,Proffered Paper,"GU tumours, prostate, penile and testis"
"Perception of the environmental impact of oncology care, a survey of French and Belgian caregivers",Paul Matte ,"Villejuif, France","Medical Oncology Department, Paris, France.",2354P,Hall 25,10/19/2025,12-13:00,Poster,Policy
Hydration practices during cisplatin administration: a national multicenter survey,Paul Matte ,"Villejuif, France","Medical Oncology Department, Paris, France.",2909P,Hall 25,10/19/2025,12-13:00,Poster,Supportive care
Shaping the Future of Oncology: Student Roles in Global and European Education Models,Paulina Kalman ,"Warsaw, Poland","Department of General and Transplantation Surgery, Medical University of Warsaw, Warsaw, Poland.",2324P,Hall 25,10/19/2025,12-13:00,Poster,Policy
Cutaneous melanoma: Case presentation,Pawel Teterycz ,"Warsaw, Poland","Department of Soft Tissue/Bone Sarcoma and Melanoma, Maria Sklodowska-Curie National Research Institute of Oncology, Warsaw, Poland, Maria Sklodowska-Curie National Research Institute of Oncology",,Bonn Auditorium - Hall 7.1c,10/19/2025,11:00 - 11:15,Special Session,ESMO Clinical Practice Guidelines I
Challenge #2: mCRPC With an HRR Mutation,Pedro Barata ,"Cleveland, United States of America","Seidman Cancer Center, University Hospitals, Case Western Reserve University, Cleveland, OH, USA, Tulane University, LA, USA.",,Karlsruhe Auditorium - Hall 5.2,10/19/2025,18:30 - 20:00,Industry-Sponsored Symposium,Emerging Evidence-Based Treatment Strategies in mCRPC
Co-creation and iterative needs assessment with patients and healthcare providers in an International Phase II TILs Therapy Trial (PRAGMATIL),Pedro Cacilhas ,"Porto Alegre, Brazil",,2904P,Hall 25,10/19/2025,12-13:00,Poster,Supportive care
Predictors of comprehensive frailty in breast cancer patients with adjuvant endocrine therapy,Pei Ju P. Lien ,"Taipei City, Taiwan",,CN103,Hall 25,10/19/2025,12-13:00,Poster,"Cancer Nursing: Supportive care, symptom management and integrative oncology"
"Neoadjuvant short-course radiotherapy (SCRT) plus iparomlimab and tuvonralimab (QL1706), CAPOX, and regorafenib in locally advanced rectal cancer (LARC): A randomized, multicenter, non-comparative phase 2 trial in progress",Pei-Rong Ding ,"Guangzhou, China","Department of Colorectal Surgery, Sun Yat-sen University Cancer Center, Guangzhou, People's Republic of China.",860TiP,Hall 25,10/19/2025,12-13:00,Poster,Colorectal cancer
"Safety, efficacy, and pharmacokinetic (PK) results from a phase I first-in-human study of JYB1907 in patients with advanced solid tumors",Peiwen Ma ,"Beijing, China","Clinical Trial Center, National Cancer Center/National Clinical Research Center for Cancer/Cancer Hospital, Chinese Academy of Medical Sciences and Peking Union Medical College, Beijing 100021, China.",1568P,Hall 25,10/19/2025,12-13:00,Poster,Investigational immunotherapy
"VEGF(R) Inhibitor-Induced Arthritis in Cancer: Integrated Insights from Pharmacovigilance Databases, Clinical Cohorts, and Preclinical Models",Peng Luo ,"Guangzhou, China",Department of Oncology Zhujiang Hospital Southern Medical University Guangzhou Guangdong China.,1539P,Hall 25,10/19/2025,12-13:00,Poster,Investigational immunotherapy
Characterization of Dose-Dependent Immune-Related Adverse Events Using Pharmacovigilance Analysis,Peng Luo ,"Guangzhou, China",Department of Oncology Zhujiang Hospital Southern Medical University Guangzhou Guangdong China.,1582P,Hall 25,10/19/2025,12-13:00,Poster,Investigational immunotherapy
"The Relationship Between Burnout, Caring Behaviors, and Emotional Intelligence in Oncology Nurses",Perihan Guner ,"Istanbul, Turkey","Mental Health Nursing, School of Nursing, Istanbul Bilgi University, Istanbul, Turkey.",2570P,Hall 25,10/19/2025,12-13:00,Poster,Psycho-oncology
Neo-POLEM: A phase II trial of neoadjuvant PD-1 vaccine PD1-Vaxx in operable MSI high colorectal cancer.,Perminder Tony Singh Dhillon ,"Guildford, United Kingdom",,906eTiP,Hall 25,10/19/2025,12-13:00,ePoster,Colorectal cancer
Oncology Assessment Unit- A Service Evaluation,Peta Hughes ,"London, United Kingdom","Royal Marsden NHS Foundation Trust, London",CN118,Hall 25,10/19/2025,12-13:00,Poster,"Cancer Nursing: Supportive care, symptom management and integrative oncology"
"TACTIVE-N: phase 2 study of neoadjuvant vepdegestrant, a PROteolysis TArgeting Chimera (PROTAC) estrogen receptor (ER) degrader, or anastrozole in postmenopausal ER+/human epidermal growth factor receptor 2 (HER2)- localized breast cancer (BC)",Peter A. Fasching ,"Erlangen, Germany","Department of Gynecology and Obstetrics, Comprehensive Cancer Center Erlangen-EMN, Universitätsklinikum Erlangen, Friedrich-Alexander-Universität Erlangen-Nürnberg, Universitaetsstrasse 21-23",293MO,Munich Auditorium - CityCube B,10/19/2025,10:40 - 10:45,Mini Oral Session,"Breast cancer, early stage"
Survival of patients with dMMR versus pMMR early stage colon cancer: a real world matched study,Peter De Gooyer ,"Amsterdam, Netherlands","Location University of Amsterdam, Amsterdam, the Netherlands.",742P,Hall 25,10/19/2025,12-13:00,Poster,Colorectal cancer
Welcome and Introduction,Peter Schmid ,"London, United Kingdom","Centre for Experimental Cancer Medicine, Barts Cancer Institute, Queen Mary University of London, London EC1M 6AU, UK.",,Solingen Auditorium - Hall 23,10/19/2025,18:30 - 19:30,Industry-Sponsored Symposium,245 - Menarini Stemline - Evolving Treatment Strategies for Patients With ER+/HER2− Early Breast Cancer
Novel Approaches to Reduce Recurrence Risk in ER+/HER2− Early Breast Cancer,Peter Schmid ,"London, United Kingdom","Centre for Experimental Cancer Medicine, Barts Cancer Institute, Queen Mary University of London, London EC1M 6AU, UK.",,Solingen Auditorium - Hall 23,10/19/2025,18:30 - 19:30,Industry-Sponsored Symposium,245 - Menarini Stemline - Evolving Treatment Strategies for Patients With ER+/HER2− Early Breast Cancer
Discussion and Q&A,Peter Schmid ,"London, United Kingdom","Centre for Experimental Cancer Medicine, Barts Cancer Institute, Queen Mary University of London, London EC1M 6AU, UK.",,Solingen Auditorium - Hall 23,10/19/2025,18:30 - 19:30,Industry-Sponsored Symposium,245 - Menarini Stemline - Evolving Treatment Strategies for Patients With ER+/HER2− Early Breast Cancer
Invited Discussant,Petr Szturz ,"Lausanne, Switzerland","Department of Oncology, University of Lausanne and Lausanne University Hospital, 1011 Lausanne, Switzerland.",,Cologne Auditorium - CityCube A,10/19/2025,16:50 - 17:00,Mini Oral Session,Head & neck cancer
Nasal/paranasal cavity cancers: Diagnostic aspects,Philipp Jurmeister ,"Munich, Germany","Institute of Pathology, Ludwig Maximilians University, Munich, Germany, German Cancer Consortium (DKTK), German Cancer Research Center (DKFZ), Heidelberg, Germany.",,Essen Auditorium - Hall 7.2a,10/19/2025,09:10 - 09:30,Educational Session,Molecular and clinical advancements in salivary glands cancer and nasal/paranasal cavity cancers
Gut microbiome composition associates with clinical response to immune checkpoint inhibitor (ICI) therapy across multiple patient cohorts,Philippa G. Corrie ,"Cambridge, United Kingdom, Cambridgeshire","Cambridge University Hospitals NHS Foundation Trust (Addenbrooke's Hospital), Cambridge CB2 0QQ, UK.",1523P,Hall 25,10/19/2025,12-13:00,Poster,Investigational immunotherapy
Invited Discussant,Philippe Aftimos ,"Anderlecht, Belgium","Clinical Trials Conduct Unit, Brussels, Belgium.",,Munich Auditorium - CityCube B,10/19/2025,10:50 - 11:00,Mini Oral Session,"Breast cancer, early stage"
"Intracranial efficacy of olomorasib, a second-generation KRAS G12C inhibitor, in patients with KRAS G12C-mutant NSCLC who have active, untreated brain metastases",Philippe Cassier ,"Lyon, France","Department of Medical Oncology, Leon Berard Cancer Center, Lyon, France.",1846MO,Berlin Auditorium - Hub 27,10/19/2025,08:35 - 08:40,Mini Oral Session,NSCLC metastatic
"Increased EGFR gene copy number (GCN) in prediction of outcome of EGFR-, VEGF-inhibitors or no biologics with first line combination chemotherapy for metastatic colorectal cancer (mCRC)",Pia J. Osterlund ,"Tampere, Finland","Department of Oncology, Tampere University Hospital, and University of Tampere, Tampere, Finland.",875eP,Hall 25,10/19/2025,12-13:00,ePoster,Colorectal cancer
"A Phase I Dose-Escalation Study of TY-2699a, a non-Covalent Inhibitor of CDK7, in Patients with Advanced Solid Tumors",Pin Zhang ,"Beijing, China","Department of Medical Oncology, National Cancer Center, National Clinical Research Center for Cancer, Cancer Hospital, Chinese Academy of Medical Sciences and Peking Union Medical College, Beijing",975P,Hall 25,10/19/2025,12-13:00,Poster,Developmental therapeutics
Title  LN-4305 and LN-4311 Novel Nectin-4 Targeting ADCs with Best-in-Class-Potential,Pini Tsukerman ,"Jerusalem, Israel","The Lautenberg Center for General and Tumor Immunology, The BioMedical Research Institute Israel-Canada of The Faculty of Medicine, The Hebrew University Hadassah Medical School, Jerusalem, Israel.",1013eP,Hall 25,10/19/2025,12-13:00,ePoster,Developmental therapeutics
Clonal haematopoiesis,Pinkal Desai ,"New York, United States of America","Division of Hematology and Medical Oncology, Department of Medicine, Weill Cornell Medicine/NewYork-Presbyterian Hospital",,Essen Auditorium - Hall 7.2a,10/19/2025,16:30 - 16:55,Educational Session,Premalignant states in haematology
Primary cutaneous sarcoma,Piotr Rutkowski ,"Warsaw, Poland","Department of Soft Tissue/Bone Sarcoma and Melanoma, The Maria Sklodowska-Curie National Research Institute of Oncology in Warsaw, Warsaw, Poland.",,Heidelberg Auditorium - Hall 6.2,10/19/2025,16:30 - 16:55,Educational Session,Systemic treatment for rare subtypes of cutaneous tumours
Overview of AI and use of AI in academic writing,Polat Goktas ,"Dublin, Ireland","UCD School of Computer Science, University College Dublin, Ireland.",,Potsdam Auditorium - Hall 5.1,10/19/2025,13:50 - 14:20,Eons Session,"Artificial Intelligence in cancer nursing - Practical uses, ethical boundaries, and academic support"
Feasibility study of lung cancer patient navigator in identification and management of toxicities post initial commencement of EGFR TKI,Puey Ling Chia ,"Singapore, Singapore, VIC","Department of Medical Oncology, Tan Tock Seng Hospital, National Healthcare Group, Singapore, Singapore.",2932eP,Hall 25,10/19/2025,12-13:00,ePoster,Supportive care
Prospective Evaluation of Deepath-MSI for Microsatellite Instability Assessment in Colorectal Cancer: A Novel Whole Slide Image-Based Approach Versus Promega MSI Assay,Qian Wang ,"Shanghai, China","Department of Spine Surgery, Shanghai East Hospital, Tongji University School of Medicine Shanghai China.",815P,Hall 25,10/19/2025,12-13:00,Poster,Colorectal cancer
"The efficacy and safety of surufatinib combined with chemotherapy in the first-line treatment of advanced periampullary carcinoma: a single arm, prospective, exploratory clinical study",Qianqian Wang ,"Nanjing, China","Department of Breeding, Shandong Peanut Research Institute, Qingdao, China. Electronic address: 18761869832@163.com.",929P,Hall 25,10/19/2025,12-13:00,Poster,Developmental therapeutics
